Circle Name,Division Name,Name of Zone,code,name,division_id,short_code,address,phone_no,circle_id,region_id
Harda (O&M),Harda_South,Kartana,2414444,Harda (O&M),106,KAA,Kartana,1912,33,3
Harda (O&M),Harda_South,Rehatgaon,2414436,Harda (O&M),106,REH,Rehatgaon,1912,33,3
Harda (O&M),Harda_South,Sirali,2414440,Harda (O&M),106,SIR,Sirali,1912,33,3
Harda (O&M),Harda_South,Timarni,2414441,Harda (O&M),106,TIM,Timarni,1912,33,3
Rajgarh (O&M),Zeerapur,Machalpur,2323708,Rajgarh (O&M),105,MCH,Machalpur,1912,23,3
Rajgarh (O&M),Zeerapur,Zeerapur,2323741,Rajgarh (O&M),105,ZEA,Zeerapur,1912,23,3
Rajgarh (O&M),Zeerapur,Zeerapur,2323706,Rajgarh (O&M),105,ZEE,Zeerapur,1912,23,3
Rajgarh (O&M),Zeerapur,Zeerapur-I,2303842,Rajgarh (O&M),105,ZEB,Zeerapur_I,1912,23,3
Rajgarh (O&M),Zeerapur,Chhapikheda,2323715,Rajgarh (O&M),105,CHH,Chhapikheda,1912,23,3
Rajgarh (O&M),Zeerapur,Chhapikheda,2323733,Rajgarh (O&M),105,CHP,Chhapikheda,1912,23,3
Rajgarh (O&M),Zeerapur,Khilchipur,2323734,Rajgarh (O&M),105,KDP,Khilchipur,1912,23,3
Rajgarh (O&M),Zeerapur,Khilchipur,2323704,Rajgarh (O&M),105,KIP,Khilchipur,1912,23,3
Rajgarh (O&M),Zeerapur,Machalpur,2323736,Rajgarh (O&M),105,MCD,Machalpur,1912,23,3
Narmadapuram (O&M),Sohagpur,Sohagpur (Town),2414682,Narmadapuram (O&M),104,SOU,Sohagpur (Town),1912,19,3
Narmadapuram (O&M),Sohagpur,Sohagpur (Rural),2414665,Narmadapuram (O&M),104,SAS,Sohagpur (Rural),1912,19,3
Narmadapuram (O&M),Sohagpur,Shobhapur,2414667,Narmadapuram (O&M),104,SHO,Shobhapur,1912,19,3
Narmadapuram (O&M),Sohagpur,Semari HCD,2414668,Narmadapuram (O&M),104,SCD,Semari HCD,1912,19,3
Narmadapuram (O&M),Sohagpur,Ari,2414551,Narmadapuram (O&M),104,ARI,Ari,1912,19,3
Narmadapuram (O&M),Sohagpur,Makhan Nagar,2414552,Narmadapuram (O&M),104,BAB,Makhan Nagar,1912,19,3
Shivpuri (O&M),Shivpuri-2,Rannod,2384740,Shivpuri (O&M),103,RAN,Rannod,1912,28,4
Shivpuri (O&M),Shivpuri-2,Narwar,2384732,Shivpuri (O&M),103,NRW,Narwar,1912,28,4
Shivpuri (O&M),Shivpuri-2,Magroni,2384738,Shivpuri (O&M),103,MAG,Magroni,1912,28,4
Shivpuri (O&M),Shivpuri-2,Karera Urban,2384720,Shivpuri (O&M),103,KVR,Karera Urban,1912,28,4
Shivpuri (O&M),Shivpuri-2,Khatora,2384724,Shivpuri (O&M),103,KHT,Khatora,1912,28,4
Shivpuri (O&M),Shivpuri-2,Kheraghat,2384726,Shivpuri (O&M),103,KEG,Kheraghat,1912,28,4
Shivpuri (O&M),Shivpuri-2,Kolaras (Urban),2384737,Shivpuri (O&M),103,KAU,Kolaras (Urban),1912,28,4
Shivpuri (O&M),Shivpuri-2,Kolaras (Rural),2384728,Shivpuri (O&M),103,KAR,Kolaras (Rural),1912,28,4
Shivpuri (O&M),Shivpuri-2,Dinara,2384713,Shivpuri (O&M),103,DNA,Dinara,1912,28,4
Shivpuri (O&M),Shivpuri-2,Badarwas,2384705,Shivpuri (O&M),103,BAD,Badarwas,1912,28,4
Sheopur (O&M),Sheopur (North),Vijaypur-II,2385008,Sheopur (O&M),102,VII,Vijaypur-II,1912,21,4
Sheopur (O&M),Sheopur (North),Vijaypur-I,2385007,Sheopur (O&M),102,VIJ,Vijaypur-I,1912,21,4
Sheopur (O&M),Sheopur (North),Veerpur,2385009,Sheopur (O&M),102,VEE,Veerpur,1912,21,4
Sheopur (O&M),Sheopur (North),Soinkala,2385005,Sheopur (O&M),102,SOI,Soinkala,1912,21,4
Sheopur (O&M),Sheopur (North),Raghunathpur,2605109,Sheopur (O&M),102,RGT,Raghunathpur,1912,21,4
Sheopur (O&M),Sheopur (North),Gaswani,2385010,Sheopur (O&M),102,GAW,Gaswani,1912,21,4
Sheopur (O&M),Sheopur (North),Dhoti,2605102,Sheopur (O&M),102,DOT,Dhoti,1912,21,4
Sheopur (O&M),Sheopur (North),Dhoder,2605105,Sheopur (O&M),102,DOD,Dhoder,1912,21,4
Sheopur (O&M),Sheopur (North),BHOGI KA TIRAHA,2605104,Sheopur (O&M),102,BKT,BHOGI KA TIRAHA,1912,21,4
Datia (O&M),Seondha,Tharet (Rural),2394460,Datia (O&M),101,THT,Tharet (Rural),1912,29,4
Datia (O&M),Seondha,Seondha (U & R),2394410,Datia (O&M),101,SUR,Seondha (U & R),1912,29,4
Datia (O&M),Seondha,Salon (Rural),2394409,Datia (O&M),101,SAO,Salon (Rural),1912,29,4
Datia (O&M),Seondha,Indergarh-1,2394430,Datia (O&M),101,INI,Indergarh-1,1912,29,4
Datia (O&M),Seondha,Indergarh-2,2394431,Datia (O&M),101,IND,Indergarh-2,1912,29,4
Datia (O&M),Seondha,Bhander(Rural),2394414,Datia (O&M),101,BAZ,Bhander(Rural),1912,29,4
Rajgarh (O&M),Rajgarh,Rajgarh (Town),2323739,Rajgarh (O&M),100,RAU,Rajgarh (Town),1912,23,3
Rajgarh (O&M),Rajgarh,Rajgarh (Rural),2323740,Rajgarh (O&M),100,RAR,Rajgarh (Rural),1912,23,3
Rajgarh (O&M),Rajgarh,Pachore (Town),2323737,Rajgarh (O&M),100,PAU,Pachore (Town),1912,23,3
Rajgarh (O&M),Rajgarh,Pachore (Rural),2323738,Rajgarh (O&M),100,PAS,Pachore (Rural),1912,23,3
Rajgarh (O&M),Rajgarh,Khujner,2323735,Rajgarh (O&M),100,KNE,Khujner,1912,23,3
Rajgarh (O&M),Rajgarh,Khujner,2323713,Rajgarh (O&M),100,KHJ,Khujner,1912,23,3
Rajgarh (O&M),Rajgarh,Khilchipur-II,2323834,Rajgarh (O&M),100,KHI,Khilchipur-II,1912,23,3
Shivpuri (O&M),Pichhore,Pichhore Urban,2384836,Shivpuri (O&M),99,PIU,Pichhore Urban,1912,28,4
Shivpuri (O&M),Pichhore,Pichhore (Rural),2384801,Shivpuri (O&M),99,PIR,Pichhore (Rural),1912,28,4
Shivpuri (O&M),Pichhore,Khaniyadhana (Urban),2384844,Shivpuri (O&M),99,KNU,Khaniyadhana (Urban),1912,28,4
Shivpuri (O&M),Pichhore,Khaniyadhana (Rural),2384804,Shivpuri (O&M),99,KNR,Khaniyadhana (Rural),1912,28,4
Shivpuri (O&M),Pichhore,Khod,2384802,Shivpuri (O&M),99,KDO,Khod,1912,28,4
Shivpuri (O&M),Pichhore,Bhonti,2384803,Shivpuri (O&M),99,BON,Bhonti,1912,28,4
Raisen (O&M),Obedullaganj,Obedullaganj,2325055,Raisen (O&M),98,OBD,Obedullaganj,1912,24,3
Raisen (O&M),Obedullaganj,Mandideep (Rural),2325004,Raisen (O&M),98,MDR,Mandideep (Rural),1912,24,3
Raisen (O&M),Obedullaganj,Goharganj,2325020,Raisen (O&M),98,GAH,Goharganj,1912,24,3
Raisen (O&M),Obedullaganj,Chiklod,2325003,Raisen (O&M),98,CHK,Chiklod,1912,24,3
Bhopal (O&M),Nasrullaganj,GopalPur,2334801,Bhopal (O&M),97,GOP,GopalPur,1912,18,3
Bhopal (O&M),Nasrullaganj,Nasrullaganj,2324845,Bhopal (O&M),97,NAS,Nasrullaganj,1912,18,3
Bhopal (O&M),Nasrullaganj,Ladkui,2324832,Bhopal (O&M),97,LAD,Ladkui,1912,18,3
Rajgarh (O&M),Narsinghgarh,Narsingh Garh (Urban),2574528,Rajgarh (O&M),96,NGU,Narsingh Garh (Urban),1912,23,3
Rajgarh (O&M),Narsinghgarh,Narsingh Garh (Rural),2574527,Rajgarh (O&M),96,NGR,Narsingh Garh (Rural),1912,23,3
Rajgarh (O&M),Narsinghgarh,Jhadla,2574530,Rajgarh (O&M),96,JAD,Jhadla,1912,23,3
Rajgarh (O&M),Narsinghgarh,Gadiya,2574524,Rajgarh (O&M),96,GAD,Gadiya,1912,23,3
Rajgarh (O&M),Narsinghgarh,Eklera,2574525,Rajgarh (O&M),96,EKL,Eklera,1912,23,3
Rajgarh (O&M),Narsinghgarh,Boda,2574523,Rajgarh (O&M),96,BOD,Boda_Urban,1912,23,3
Rajgarh (O&M),Narsinghgarh,Talen,2574529,Rajgarh (O&M),96,TAL,Talen_Urban,1912,23,3
Rajgarh (O&M),Narsinghgarh,Boda_R,2574545,Rajgarh (O&M),96,BDZ,Boda_Rural,1912,23,3
